Fecha,Empresa,Precio_cierre
2012-06-07,NATURGY,4.392069339752197
2012-06-08,NATURGY,4.512067317962647
2012-06-11,NATURGY,4.505647659301758
2012-06-12,NATURGY,4.493796348571777
2012-06-13,NATURGY,4.496760368347168
2012-06-14,NATURGY,4.518486499786377
2012-06-15,NATURGY,4.609350204467773
2012-06-18,NATURGY,4.589104652404785
2012-06-19,NATURGY,4.656264781951904
2012-06-20,NATURGY,4.756016254425049
2012-06-21,NATURGY,4.721449851989746
2012-06-22,NATURGY,4.777744770050049
2012-06-25,NATURGY,4.635030746459961
2012-06-26,NATURGY,4.63651180267334
2012-06-27,NATURGY,4.6913275718688965
2012-06-28,NATURGY,4.718979835510254
2012-06-29,NATURGY,4.9900898933410645
2012-07-02,NATURGY,5.007373809814453
2012-07-03,NATURGY,4.9703369140625
2012-07-04,NATURGY,4.962928771972656
2012-07-05,NATURGY,4.877003192901611
2012-07-06,NATURGY,4.825152397155762
2012-07-09,NATURGY,4.795523643493652
2012-07-10,NATURGY,4.791571617126465
2012-07-11,NATURGY,4.869597911834717
2012-07-12,NATURGY,4.726387977600098
2012-07-13,NATURGY,4.753054618835449
2012-07-16,NATURGY,4.692807674407959
2012-07-17,NATURGY,4.721944332122803
2012-07-18,NATURGY,4.739227294921875
2012-07-19,NATURGY,4.761448860168457
2012-07-20,NATURGY,4.518486499786377
2012-07-23,NATURGY,4.392561912536621
2012-07-24,NATURGY,4.225650310516357
2012-07-25,NATURGY,4.314539432525635
2012-07-26,NATURGY,4.577746868133545
2012-07-27,NATURGY,4.817744731903076
2012-07-30,NATURGY,5.046880722045898
2012-07-31,NATURGY,4.950582981109619
2012-08-01,NATURGY,4.992558002471924
2012-08-02,NATURGY,4.733793258666992
2012-08-03,NATURGY,4.982682228088379
2012-08-06,NATURGY,5.140705585479736
2012-08-07,NATURGY,5.175272464752197
2012-08-08,NATURGY,5.039471626281738
2012-08-09,NATURGY,4.871570587158203
2012-08-10,NATURGY,4.839473724365234
2012-08-13,NATURGY,4.8913254737854
2012-08-14,NATURGY,4.839473724365234
2012-08-15,NATURGY,4.82021427154541
2012-08-16,NATURGY,5.029595851898193
2012-08-17,NATURGY,5.323420524597168
2012-08-20,NATURGY,5.264160633087158
2012-08-21,NATURGY,5.177742958068848
2012-08-22,NATURGY,5.0641632080078125
2012-08-23,NATURGY,5.019717693328857
2012-08-24,NATURGY,4.975275039672852
2012-08-27,NATURGY,5.012312412261963
2012-08-28,NATURGY,4.927374362945557
2012-08-29,NATURGY,4.844412326812744
2012-08-30,NATURGY,4.769843578338623
2012-08-31,NATURGY,4.842436790466309
2012-09-03,NATURGY,4.88391637802124
2012-09-04,NATURGY,5.07157039642334
